# NODES
# id,label,type,lat,lng,city
N1,Node 1,trail,40.759,-107.9324,San Francisco
N41,N17,10.3,9.2,subway,1.85
N41,N17,9.5,5.7,subway,3.7
N42,N43,41.5,38.0,bus,6.88
N42,N43,49.8,49.4,bus,4.82
N42,N43,45.7,30.4,bus,9.63
N8,N35,28.5,31.0,subway,12.48
N8,N35,34.2,40.3,subway,8.74
N8,N35,31.4,24.8,subway,17.47
N25,N37,36.2,50.7,trail,10.63
N25,N37,43.4,65.9,trail,7.44
N25,N37,39.8,40.6,trail,14.88
N23,N9,6.4,5.5,subway,1.77
N23,N9,7.7,7.2,subway,1.24
N23,N9,7.0,4.4,subway,2.48
N5,N13,40.5,35.8,trail,16.58
N5,N13,48.6,46.5,trail,11.61
N5,N13,44.6,28.6,trail,23.21
N1,N42,8.9,9.8,trail,1.69
N1,N42,10.7,12.7,trail,1.18
N1,N42,9.8,7.8,trail,2.37
N36,N32,23.0,31.0,trail,10.71
N36,N32,27.6,40.3,trail,7.5
N36,N32,25.3,24.8,trail,14.99
N12,N16,47.4,43.2,subway,21.27
N12,N16,56.9,56.2,subway,14.89
N12,N16,52.1,34.6,subway,29.78
N31,N42,49.8,64.0,subway,10.68
N31,N42,59.8,83.2,subway,7.48
N31,N42,54.8,51.2,subway,14.95
N50,N40,13.9,20.8,trail,3.32
N50,N40,16.7,27.0,trail,2.32
N50,N40,15.3,16.6,trail,4.65
N24,N38,2.2,2.4,bus,0.5
N24,N38,2.6,3.1,bus,0.35
N24,N38,2.4,1.9,bus,0.7
N5,N10,29.0,29.8,subway,11.76
N5,N10,34.8,38.7,subway,8.23
N5,N10,31.9,23.8,subway,16.46
N4,N44,48.4,45.8,trail,19.54
N4,N44,58.1,59.5,trail,13.68
N4,N44,53.2,36.6,trail,27.36
N10,N28,14.5,12.7,trail,3.9
N10,N28,17.4,16.5,trail,2.73
N10,N28,16.0,10.2,trail,5.46
N50,N37,12.9,15.9,bus,3.81
N50,N37,15.5,20.7,bus,2.67
N50,N37,14.2,12.7,bus,5.33
N46,N13,17.7,25.6,subway,5.72
N46,N13,21.2,33.3,subway,4.0
N46,N13,19.5,20.5,subway,8.01
N50,N5,20.1,20.3,subway,7.03
N50,N5,24.1,26.4,subway,4.92
N50,N5,22.1,16.2,subway,9.84
N29,N23,32.3,31.2,bus,4.32
N29,N23,38.8,40.6,bus,3.02
N29,N23,35.5,25.0,bus,6.05
N37,N35,7.7,11.0,subway,3.17
N37,N35,9.2,14.3,subway,2.22
N37,N35,8.5,8.8,subway,4.44
N11,N17,6.6,7.3,bus,3.3
N11,N17,7.9,9.5,bus,2.31
N11,N17,7.3,5.8,bus,4.62
N13,N31,16.5,14.5,trail,2.74
N13,N31,19.8,18.9,trail,1.92
N13,N31,18.2,11.6,trail,3.84
N49,N46,16.5,22.8,bus,5.52
N49,N46,19.8,29.6,bus,3.86
N49,N46,18.2,18.2,bus,7.73
N21,N1,42.8,53.7,trail,17.69
N21,N1,51.4,69.8,trail,12.38
N21,N1,47.1,43.0,trail,24.77
N3,N6,45.9,53.7,bus,9.19
N3,N6,55.1,69.8,bus,6.43
N3,N6,50.5,43.0,bus,12.87
N22,N14,26.2,34.5,subway,4.65
N22,N14,31.4,44.9,subway,3.25
N22,N14,28.8,27.6,subway,6.51
N46,N34,10.1,10.2,subway,4.71
N46,N34,12.1,13.3,subway,3.3
N46,N34,11.1,8.2,subway,6.59
N6,N32,24.6,24.9,bus,3.15
N6,N32,29.5,32.4,bus,2.2
N6,N32,27.1,19.9,bus,4.41
N8,N38,46.5,45.3,bus,6.74
N8,N38,55.8,58.9,bus,4.72
N8,N38,51.2,36.2,bus,9.44
N11,N36,43.3,50.3,subway,15.53
N11,N36,52.0,65.4,subway,10.87
N11,N36,47.6,40.2,subway,21.74
N4,N14,43.8,56.0,trail,11.77
N4,N14,52.6,72.8,trail,8.24
N4,N14,48.2,44.8,trail,16.48
N24,N17,16.6,15.0,trail,6.91
N24,N17,19.9,19.5,trail,4.84
N24,N17,18.3,12.0,trail,9.67
N38,N21,4.9,6.5,bus,2.3
N38,N21,5.9,8.5,bus,1.61
N38,N21,5.4,5.2,bus,3.22
N33,N9,38.4,38.8,trail,12.5
N33,N9,46.1,50.4,trail,8.75
N33,N9,42.2,31.0,trail,17.5
N25,N8,39.9,52.9,subway,9.96
N25,N8,47.9,68.8,subway,6.97
N25,N8,43.9,42.3,subway,13.94
N42,N24,19.6,23.8,subway,9.46
N42,N24,23.5,30.9,subway,6.62
N42,N24,21.6,19.0,subway,13.24
N18,N10,6.4,9.0,subway,1.15
N18,N10,7.7,11.7,subway,0.8
N18,N10,7.0,7.2,subway,1.61
N36,N45,4.3,4.8,trail,1.31
N36,N45,5.2,6.2,trail,0.92
N36,N45,4.7,3.8,trail,1.83
N50,N31,28.9,35.3,bus,8.25
N50,N31,34.7,45.9,bus,5.77
N50,N31,31.8,28.2,bus,11.55
N48,N42,19.9,25.1,bus,6.61
N48,N42,23.9,32.6,bus,4.63
N48,N42,21.9,20.1,bus,9.25
N44,N45,4.2,5.6,bus,1.99
N44,N45,5.0,7.3,bus,1.39
N44,N45,4.6,4.5,bus,2.79
N8,N38,15.2,18.6,trail,3.4
N8,N38,18.2,24.2,trail,2.38
N8,N38,16.7,14.9,trail,4.76
N30,N47,3.0,3.9,trail,1.43
N30,N47,3.6,5.1,trail,1.0
N30,N47,3.3,3.1,trail,2.0
N43,N21,2.4,2.6,subway,1.09
N43,N21,2.9,3.4,subway,0.76
N43,N21,2.6,2.1,subway,1.53
N20,N44,9.7,10.9,bus,2.34
N20,N44,11.6,14.2,bus,1.64
N20,N44,10.7,8.7,bus,3.28
N13,N45,44.9,38.7,trail,8.26
N13,N45,53.9,50.3,trail,5.78
N13,N45,49.4,31.0,trail,11.56
N24,N30,9.2,11.3,bus,1.42
N24,N30,11.0,14.7,bus,0.99
N24,N30,10.1,9.0,bus,1.99
N3,N29,21.2,18.0,trail,8.5
N3,N29,25.4,23.4,trail,5.95
N3,N29,23.3,14.4,trail,11.9
N36,N47,11.4,14.4,trail,3.86
N36,N47,13.7,18.7,trail,2.7
N36,N47,12.5,11.5,trail,5.4
N45,N25,18.0,18.9,subway,7.68
N45,N25,21.6,24.6,subway,5.38
N45,N25,19.8,15.1,subway,10.75
N23,N13,48.1,38.9,bus,22.53
N23,N13,57.7,50.6,bus,15.77
N23,N13,52.9,31.1,bus,31.54
N7,N37,39.0,48.3,bus,18.77
N7,N37,46.8,62.8,bus,13.14
N7,N37,42.9,38.6,bus,26.28
N50,N35,10.1,9.9,subway,1.57
N50,N35,12.1,12.9,subway,1.1
N50,N35,11.1,7.9,subway,2.2
N26,N8,9.9,10.0,subway,2.31
N26,N8,11.9,13.0,subway,1.62
N26,N8,10.9,8.0,subway,3.23
N18,N35,44.3,64.1,subway,8.48
N18,N35,53.2,83.3,subway,5.94
N18,N35,48.7,51.3,subway,11.87
N25,N44,45.0,37.9,subway,4.95
N25,N44,54.0,49.3,subway,3.46
N25,N44,49.5,30.3,subway,6.93
N10,N36,21.3,30.9,subway,7.5
N10,N36,25.6,40.2,subway,5.25
N10,N36,23.4,24.7,subway,10.5
N32,N42,12.3,11.8,bus,2.77
N32,N42,14.8,15.3,bus,1.94
N32,N42,13.5,9.4,bus,3.88
N9,N32,31.3,45.0,subway,4.13
N9,N32,37.6,58.5,subway,2.89
N9,N32,34.4,36.0,subway,5.78
N2,N11,4.8,4.6,bus,1.13
N2,N11,5.8,6.0,bus,0.79
N2,N11,5.3,3.7,bus,1.58
N43,N33,2.2,1.9,trail,0.57
N43,N33,2.6,2.5,trail,0.4
N43,N33,2.4,1.5,trail,0.8
N34,N24,48.8,64.6,subway,17.61
N34,N24,58.6,84.0,subway,12.33
N34,N24,53.7,51.7,subway,24.65
N39,N37,35.9,30.7,trail,10.5
N39,N37,43.1,39.9,trail,7.35
N39,N37,39.5,24.6,trail,14.7
N45,N25,11.6,12.5,subway,2.68
N45,N25,13.9,16.2,subway,1.88
N45,N25,12.8,10.0,subway,3.75
N39,N17,43.9,53.2,bus,8.79
N39,N17,52.7,69.2,bus,6.15
N39,N17,48.3,42.6,bus,12.31
N47,N11,36.1,45.2,trail,7.01
N47,N11,43.3,58.8,trail,4.91
N47,N11,39.7,36.2,trail,9.81
N40,N19,15.5,18.2,trail,7.65
N40,N19,18.6,23.7,trail,5.35
N40,N19,17.1,14.6,trail,10.71
N44,N11,25.4,25.6,subway,3.55
N44,N11,30.5,33.3,subway,2.48
N44,N11,27.9,20.5,subway,4.97
N43,N41,46.6,66.1,bus,14.65
N43,N41,55.9,85.9,bus,10.25
N43,N41,51.3,52.9,bus,20.51
N20,N28,16.6,24.8,trail,1.74
N20,N28,19.9,32.2,trail,1.22
N20,N28,18.3,19.8,trail,2.44
N42,N3,1.5,1.7,subway,0.29
N42,N3,1.8,2.2,subway,0.2
N42,N3,1.7,1.4,subway,0.41
N49,N12,49.7,63.3,subway,9.08
N49,N12,59.6,82.3,subway,6.36
N49,N12,54.7,50.6,subway,12.71
N42,N1,44.7,56.0,subway,17.97
N42,N1,53.6,72.8,subway,12.58
N42,N1,49.2,44.8,subway,25.16
N15,N36,11.8,11.7,subway,2.68
N15,N36,14.2,15.2,subway,1.88
N15,N36,13.0,9.4,subway,3.75
N25,N34,47.0,63.0,subway,10.96
N25,N34,56.4,81.9,subway,7.67
N25,N34,51.7,50.4,subway,15.34
N37,N9,13.0,13.4,subway,4.88
N37,N9,15.6,17.4,subway,3.42
N37,N9,14.3,10.7,subway,6.83
N29,N25,26.7,34.1,trail,3.36
N29,N25,32.0,44.3,trail,2.35
N29,N25,29.4,27.3,trail,4.7
N31,N26,48.3,67.8,trail,10.85
N31,N26,58.0,88.1,trail,7.59
N31,N26,53.1,54.2,trail,15.19
N11,N9,44.3,54.7,trail,12.44
N11,N9,53.2,71.1,trail,8.71
N11,N9,48.7,43.8,trail,17.42
N21,N17,35.0,34.2,trail,9.43
N21,N17,42.0,44.5,trail,6.6
N21,N17,38.5,27.4,trail,13.2
N43,N28,14.4,17.2,trail,4.65
N43,N28,17.3,22.4,trail,3.25
N43,N28,15.8,13.8,trail,6.51
N23,N19,36.4,32.0,bus,6.3
N23,N19,43.7,41.6,bus,4.41
N23,N19,40.0,25.6,bus,8.82
N32,N7,35.8,34.2,bus,12.91
N32,N7,43.0,44.5,bus,9.04
N32,N7,39.4,27.4,bus,18.07
N15,N30,28.2,36.8,trail,3.92
N15,N30,33.8,47.8,trail,2.74
N15,N30,31.0,29.4,trail,5.49
N1,N50,21.2,19.6,trail,6.89
N1,N50,25.4,25.5,trail,4.82
N1,N50,23.3,15.7,trail,9.65
N46,N18,9.3,9.4,trail,3.02
N46,N18,11.2,12.2,trail,2.11
N46,N18,10.2,7.5,trail,4.23
N47,N12,47.4,51.7,trail,12.57
N47,N12,56.9,67.2,trail,8.8
N47,N12,52.1,41.4,trail,17.6
N42,N30,27.2,23.8,bus,2.8
N42,N30,32.6,30.9,bus,1.96
N42,N30,29.9,19.0,bus,3.92
N15,N38,11.7,12.5,trail,2.73
N15,N38,14.0,16.2,trail,1.91
N15,N38,12.9,10.0,trail,3.82
N27,N50,22.2,22.1,subway,3.96
N27,N50,26.6,28.7,subway,2.77
N27,N50,24.4,17.7,subway,5.54
N40,N38,3.5,2.9,bus,1.46
N40,N38,4.2,3.8,bus,1.02
N40,N38,3.9,2.3,bus,2.04
N27,N48,45.9,61.7,bus,18.12
N27,N48,55.1,80.2,bus,12.68
N27,N48,50.5,49.4,bus,25.37
N17,N35,9.1,8.9,subway,1.45
N17,N35,10.9,11.6,subway,1.01
N17,N35,10.0,7.1,subway,2.03
N25,N10,39.2,58.5,trail,16.36
N25,N10,47.0,76.0,trail,11.45
N25,N10,43.1,46.8,trail,22.9
N36,N44,14.4,13.3,trail,5.56
N36,N44,17.3,17.3,trail,3.89
N36,N44,15.8,10.6,trail,7.78
N26,N17,17.2,18.8,trail,2.9
N26,N17,20.6,24.4,trail,2.03
N26,N17,18.9,15.0,trail,4.06
N25,N28,44.4,46.1,trail,20.31
N25,N28,53.3,59.9,trail,14.22
N25,N28,48.8,36.9,trail,28.43
N49,N18,3.1,2.7,bus,0.65
N49,N18,3.7,3.5,bus,0.45
N49,N18,3.4,2.2,bus,0.91
N16,N9,49.9,65.1,subway,24.64
N16,N9,59.9,84.6,subway,17.25
N16,N9,54.9,52.1,subway,34.5
N45,N18,30.0,44.6,bus,5.27
N45,N18,36.0,58.0,bus,3.69
N45,N18,33.0,35.7,bus,7.38
N33,N4,29.3,35.6,trail,7.01
N33,N4,35.2,46.3,trail,4.91
N33,N4,32.2,28.5,trail,9.81
N24,N19,14.0,14.2,trail,2.13
N24,N19,16.8,18.5,trail,1.49
N24,N19,15.4,11.4,trail,2.98
N26,N30,38.1,42.8,trail,10.5
N26,N30,45.7,55.6,trail,7.35
N26,N30,41.9,34.2,trail,14.7
N7,N39,14.4,17.3,bus,4.25
N7,N39,17.3,22.5,bus,2.97
N7,N39,15.8,13.8,bus,5.95
N41,N4,25.0,30.6,trail,11.11
N41,N4,30.0,39.8,trail,7.78
N41,N4,27.5,24.5,trail,15.55
N2,N36,45.7,43.3,trail,6.78
N2,N36,54.8,56.3,trail,4.75
N2,N36,50.3,34.6,trail,9.49
N20,N43,14.7,13.2,subway,3.96
N20,N43,17.6,17.2,subway,2.77
N20,N43,16.2,10.6,subway,5.54
N40,N41,31.4,32.9,subway,14.66
N40,N41,37.7,42.8,subway,10.26
N40,N41,34.5,26.3,subway,20.52
N45,N39,33.6,30.8,bus,15.23
N45,N39,40.3,40.0,bus,10.66
N45,N39,37.0,24.6,bus,21.32
N21,N8,42.2,39.8,trail,13.57
N21,N8,50.6,51.7,trail,9.5
N21,N8,46.4,31.8,trail,19.0
N49,N35,27.5,33.8,bus,12.42
N49,N35,33.0,43.9,bus,8.69
N49,N35,30.3,27.0,bus,17.39
N48,N7,12.6,13.3,trail,4.25
N48,N7,15.1,17.3,trail,2.97
N48,N7,13.9,10.6,trail,5.95
N40,N50,41.5,57.7,bus,15.36
N40,N50,49.8,75.0,bus,10.75
N40,N50,45.7,46.2,bus,21.5
N14,N8,21.3,27.1,trail,4.46
N14,N8,25.6,35.2,trail,3.12
N14,N8,23.4,21.7,trail,6.24
N9,N23,24.2,35.6,trail,5.27
N9,N23,29.0,46.3,trail,3.69
N9,N23,26.6,28.5,trail,7.38
N19,N41,38.5,43.9,bus,12.14
N19,N41,46.2,57.1,bus,8.5
N19,N41,42.4,35.1,bus,17.0
N41,N32,37.9,38.4,trail,12.95
N41,N32,45.5,49.9,trail,9.06
N41,N32,41.7,30.7,trail,18.13
N24,N13,38.1,48.0,bus,6.08
N24,N13,45.7,62.4,bus,4.26
N24,N13,41.9,38.4,bus,8.51
N6,N3,45.3,44.4,bus,7.71
N6,N3,54.4,57.7,bus,5.4
N6,N3,49.8,35.5,bus,10.79
N20,N13,35.7,41.0,bus,16.0
N20,N13,42.8,53.3,bus,11.2
N20,N13,39.3,32.8,bus,22.4
N11,N37,11.8,11.9,subway,5.76
N11,N37,14.2,15.5,subway,4.03
N11,N37,13.0,9.5,subway,8.06
N2,N30,10.3,11.5,bus,4.91
N2,N30,12.4,15.0,bus,3.44
N2,N30,11.3,9.2,bus,6.87
N3,N31,19.0,23.2,trail,9.45
N3,N31,22.8,30.2,trail,6.61
N3,N31,20.9,18.6,trail,13.23
N39,N9,13.3,12.5,trail,2.38
N39,N9,16.0,16.2,trail,1.67
N39,N9,14.6,10.0,trail,3.33
N8,N28,23.7,33.7,trail,2.63
N8,N28,28.4,43.8,trail,1.84
N8,N28,26.1,27.0,trail,3.68
N1,N33,32.7,34.7,trail,10.62
N1,N33,39.2,45.1,trail,7.43
N1,N33,36.0,27.8,trail,14.87
N1,N12,35.6,49.3,subway,6.21
N1,N12,42.7,64.1,subway,4.35
N1,N12,39.2,39.4,subway,8.69
N2,N14,23.8,26.4,trail,9.04
N2,N14,28.6,34.3,trail,6.33
N2,N14,26.2,21.1,trail,12.66
N40,N10,23.6,19.6,trail,5.64
N40,N10,28.3,25.5,trail,3.95
N40,N10,26.0,15.7,trail,7.9
N14,N28,34.2,38.8,bus,10.72
N14,N28,41.0,50.4,bus,7.5
N14,N28,37.6,31.0,bus,15.01
N19,N16,35.8,52.7,bus,7.45
N19,N16,43.0,68.5,bus,5.21
N19,N16,39.4,42.2,bus,10.43
N32,N25,22.1,33.0,bus,10.72
N32,N25,26.5,42.9,bus,7.5
N32,N25,24.3,26.4,bus,15.01
N32,N42,11.3,15.6,trail,3.52
N32,N42,13.6,20.3,trail,2.46
N32,N42,12.4,12.5,trail,4.93
N18,N48,15.9,20.4,trail,6.58
N18,N48,19.1,26.5,trail,4.61
N18,N48,17.5,16.3,trail,9.21
N21,N32,15.9,16.3,bus,3.93
N21,N32,19.1,21.2,bus,2.75
N21,N32,17.5,13.0,bus,5.5
N1,N44,23.1,24.3,bus,9.3
N1,N44,27.7,31.6,bus,6.51
N1,N44,25.4,19.4,bus,13.02
N45,N44,46.3,53.8,bus,10.17
N45,N44,55.6,69.9,bus,7.12
N45,N44,50.9,43.0,bus,14.24
N42,N14,21.4,19.9,trail,3.38
N42,N14,25.7,25.9,trail,2.37
N42,N14,23.5,15.9,trail,4.73
N21,N20,43.2,57.0,subway,12.46
N21,N20,51.8,74.1,subway,8.72
N21,N20,47.5,45.6,subway,17.44
N48,N26,22.2,26.4,trail,6.99
N48,N26,26.6,34.3,trail,4.89
N48,N26,24.4,21.1,trail,9.79
N14,N7,38.7,35.8,trail,9.04
N14,N7,46.4,46.5,trail,6.33
N14,N7,42.6,28.6,trail,12.66
N19,N30,37.2,36.7,trail,11.12
N19,N30,44.6,47.7,trail,7.78
N19,N30,40.9,29.4,trail,15.57
N32,N50,24.2,19.5,trail,10.34
N32,N50,29.0,25.4,trail,7.24
N32,N50,26.6,15.6,trail,14.48
N12,N32,34.2,49.5,bus,4.59
N12,N32,41.0,64.4,bus,3.21
N12,N32,37.6,39.6,bus,6.43
N12,N7,19.0,20.2,bus,8.12
N12,N7,22.8,26.3,bus,5.68
N12,N7,20.9,16.2,bus,11.37
N7,N42,40.0,40.0,subway,19.8
N7,N42,48.0,52.0,subway,13.86
N7,N42,44.0,32.0,subway,27.72
N34,N13,2.4,1.9,subway,1.17
N34,N13,2.9,2.5,subway,0.82
N34,N13,2.6,1.5,subway,1.64
N44,N15,1.5,1.7,bus,0.38
N44,N15,1.8,2.2,bus,0.27
N44,N15,1.7,1.4,bus,0.53
N18,N25,31.4,29.6,trail,10.27
N18,N25,37.7,38.5,trail,7.19
N18,N25,34.5,23.7,trail,14.38
N4,N6,46.9,65.9,trail,14.89
N4,N6,56.3,85.7,trail,10.42
N4,N6,51.6,52.7,trail,20.85
N47,N18,16.2,21.5,trail,5.0
N47,N18,19.4,27.9,trail,3.5
N47,N18,17.8,17.2,trail,7.0
N9,N50,16.5,15.9,trail,4.33
N9,N50,19.8,20.7,trail,3.03
N9,N50,18.2,12.7,trail,6.06
N31,N4,32.6,35.1,subway,12.19
N31,N4,39.1,45.6,subway,8.53
N31,N4,35.9,28.1,subway,17.07
N42,N20,13.8,12.3,bus,3.92
N42,N20,16.6,16.0,bus,2.74
N42,N20,15.2,9.8,bus,5.49
N11,N29,27.2,26.7,trail,9.05
N11,N29,32.6,34.7,trail,6.33
N11,N29,29.9,21.4,trail,12.67
N17,N47,1.9,2.2,trail,0.63
N17,N47,2.3,2.9,trail,0.44
N17,N47,2.1,1.8,trail,0.88
N34,N24,37.6,48.6,subway,17.08
N34,N24,45.1,63.2,subway,11.96
N34,N24,41.4,38.9,subway,23.91
N29,N24,34.3,42.3,bus,8.19
N29,N24,41.2,55.0,bus,5.73
N29,N24,37.7,33.8,bus,11.47
N5,N14,2.8,2.8,subway,0.81
N5,N14,3.4,3.6,subway,0.57
N5,N14,3.1,2.2,subway,1.13
N47,N4,8.1,11.1,subway,1.12
N47,N4,9.7,14.4,subway,0.78
N47,N4,8.9,8.9,subway,1.57
N6,N24,22.3,27.8,subway,8.12
N6,N24,26.8,36.1,subway,5.68
N6,N24,24.5,22.2,subway,11.37
N44,N42,39.3,50.3,subway,10.94
N44,N42,47.2,65.4,subway,7.66
N44,N42,43.2,40.2,subway,15.32
N28,N44,26.4,34.5,trail,11.38
N28,N44,31.7,44.9,trail,7.97
N28,N44,29.0,27.6,trail,15.93
N1,N39,18.3,17.0,bus,7.04
N1,N39,22.0,22.1,bus,4.93
N1,N39,20.1,13.6,bus,9.86
N27,N3,16.9,17.2,bus,7.48
N27,N3,20.3,22.4,bus,5.24
N27,N3,18.6,13.8,bus,10.47
N20,N8,32.9,46.9,subway,11.17
N20,N8,39.5,61.0,subway,7.82
N20,N8,36.2,37.5,subway,15.64
N39,N5,12.0,14.5,trail,4.27
N39,N5,14.4,18.9,trail,2.99
N39,N5,13.2,11.6,trail,5.98
N17,N7,32.1,45.4,trail,12.5
N17,N7,38.5,59.0,trail,8.75
N17,N7,35.3,36.3,trail,17.5
N20,N9,42.9,55.1,trail,19.94
N20,N9,51.5,71.6,trail,13.96
N20,N9,47.2,44.1,trail,27.92
N24,N34,10.2,12.9,trail,1.99
N24,N34,12.2,16.8,trail,1.39
N24,N34,11.2,10.3,trail,2.79
N17,N35,37.6,38.8,trail,4.69
N17,N35,45.1,50.4,trail,3.28
N17,N35,41.4,31.0,trail,6.57
N40,N31,14.9,12.2,trail,3.04
N40,N31,17.9,15.9,trail,2.13
N40,N31,16.4,9.8,trail,4.26
N41,N15,42.3,58.3,bus,6.14
N41,N15,50.8,75.8,bus,4.3
N41,N15,46.5,46.6,bus,8.6
N19,N13,2.3,3.0,trail,0.36
N19,N13,2.8,3.9,trail,0.25
N19,N13,2.5,2.4,trail,0.5
N2,N28,41.2,52.4,trail,12.78
N2,N28,49.4,68.1,trail,8.95
N2,N28,45.3,41.9,trail,17.89
N29,N27,35.9,42.6,subway,5.05
N29,N27,43.1,55.4,subway,3.53
N29,N27,39.5,34.1,subway,7.07
N16,N15,22.1,17.7,trail,2.74
N16,N15,26.5,23.0,trail,1.92
N16,N15,24.3,14.2,trail,3.84
N41,N2,49.1,55.3,bus,5.64
N41,N2,58.9,71.9,bus,3.95
N41,N2,54.0,44.2,bus,7.9
N13,N43,40.9,43.7,subway,20.34
N13,N43,49.1,56.8,subway,14.24
N13,N43,45.0,35.0,subway,28.48
N49,N8,19.2,16.5,subway,2.07
N49,N8,23.0,21.4,subway,1.45
N49,N8,21.1,13.2,subway,2.9
N9,N23,25.1,33.6,bus,5.08
N9,N23,30.1,43.7,bus,3.56
N9,N23,27.6,26.9,bus,7.11
N26,N5,6.2,9.2,trail,1.06
N26,N5,7.4,12.0,trail,0.74
N26,N5,6.8,7.4,trail,1.48
N15,N1,30.4,27.5,subway,10.41
N15,N1,36.5,35.8,subway,7.29
N15,N1,33.4,22.0,subway,14.57
N18,N2,25.1,33.5,trail,6.83
N18,N2,30.1,43.6,trail,4.78
N18,N2,27.6,26.8,trail,9.56
N41,N23,42.5,42.0,trail,15.52
N41,N23,51.0,54.6,trail,10.86
N41,N23,46.8,33.6,trail,21.73
N30,N22,47.6,39.7,trail,19.7
N30,N22,57.1,51.6,trail,13.79
N30,N22,52.4,31.8,trail,27.58
N15,N9,5.7,7.7,bus,1.01
N15,N9,6.8,10.0,bus,0.71
N15,N9,6.3,6.2,bus,1.41
N42,N4,41.7,35.2,subway,8.6
N42,N4,50.0,45.8,subway,6.02
N42,N4,45.9,28.2,subway,12.04
N8,N37,42.2,50.3,trail,8.64
N8,N37,50.6,65.4,trail,6.05
N8,N37,46.4,40.2,trail,12.1
N13,N18,9.3,13.1,trail,3.92
N13,N18,11.2,17.0,trail,2.74
N13,N18,10.2,10.5,trail,5.49
N12,N4,24.3,19.7,subway,11.3
N12,N4,29.2,25.6,subway,7.91
N12,N4,26.7,15.8,subway,15.82
N34,N49,41.5,47.4,bus,15.19
N34,N49,49.8,61.6,bus,10.63
N34,N49,45.7,37.9,bus,21.27
N18,N16,41.6,37.2,trail,12.38
N18,N16,49.9,48.4,trail,8.67
N18,N16,45.8,29.8,trail,17.33
N4,N25,50.0,70.8,bus,23.74
N4,N25,60.0,92.0,bus,16.62
N4,N25,55.0,56.6,bus,33.24
N19,N23,44.4,59.3,subway,13.85
N19,N23,53.3,77.1,subway,9.69
N19,N23,48.8,47.4,subway,19.39
N49,N30,6.4,5.4,subway,2.47
